Date,Nom,Temps,État,Description
"24/02/2026","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete","[?]","[?]","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete"
"24/02/2026","Fix(css) : github botton hover","[1]","[DONE]","Fix(css) : github botton hover  avant il etait vert ca ne va pas avec le footer"
"24/02/2026","Fix(Readme) : mise de l'image avec le nouveau style","[6min]","[DONE]","Fix(Readme) : mise de l'image avec le nouveau style"
"24/02/2026","Update README.md","[?]","[?]","Update README.md"

"03/03/2026","Fix(css): new et edit le meme","[30]","[DONE]","Fix(css): new et edit le meme"
"03/03/2026","feat(Bouncer) : ajout du bouncer pour les items","[54min]","[DONE]","feat(Bouncer) : ajout du bouncer pour les items   y a beaucoup de doc/video pour comprendre la base"
"03/03/2026","Feat(falsh): ajoute les flash message","[35]","[DONE]","Feat(falsh): ajoute les flash message"
"03/03/2026","fix(css) la bar ne dépase pas le cardre du flash","[15min]","[DONE]","fix(css) la bar ne dépase pas le cardre du flash"

"05/03/2026","Fix(css) z-index","[5]","[DONE]","Fix(css) z-index  ¨menu mobile"

"10/03/2026","Fix(css): css du email","[15]","[DONE]","Fix(css): css du email"
"10/03/2026","Fix(Traducton): traduction du popup","[10]","[DONE]","Fix(Traducton): traduction du popup"
"10/03/2026","feat(DB) : création de la DB/Donnée pour la recherche","[46min]","[DONE]","feat(DB) : création de la DB/Donnée pour la recherche"

"17/03/2026","feat(présentation) : merge du main dans la branch de demo","[20]","[DONE]","feat(présentation) : merge du main dans la branch de demo"
"17/03/2026","fix(suppression) de l'email réel et sync des img de la factory avec les img dispo","[28]","[WIP]","fix(suppression) de l'email réel et sync des img de la factory avec les img dispo   on peux plus réserver"
"17/03/2026","feat(route): création des routes pour la recherche d'objet","[30]","[DONE]","feat(route): création des routes pour la recherche d'objet"
"17/03/2026","feat(controller) : création de l'index pour la recherche d'objet","[15]","[DONE]","feat(controller) : création de l'index pour la recherche d'objet"
"17/03/2026","Feat(externe): ajoute les externe","[30]","[WIP]","Feat(externe): ajoute les externe"
"17/03/2026","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete","[?]","[?]","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete"
